dcterms:isReferencedBy,skos:prefLabel
http://vocabularies.unesco.org/thesaurus/concept892,Belarus
http://vocabularies.unesco.org/thesaurus/concept893,Belgium
http://vocabularies.unesco.org/thesaurus/concept3704,Belief
http://vocabularies.unesco.org/thesaurus/concept761,Belize
http://vocabularies.unesco.org/thesaurus/concept17012,Benchmarking
http://vocabularies.unesco.org/thesaurus/concept3716,Bengali
http://vocabularies.unesco.org/thesaurus/concept691,Benin
http://vocabularies.unesco.org/thesaurus/concept3718,Berber
http://vocabularies.unesco.org/thesaurus/concept3721,Bering Sea
http://vocabularies.unesco.org/thesaurus/concept762,Bermuda
http://vocabularies.unesco.org/thesaurus/concept3683,Beverages
http://vocabularies.unesco.org/thesaurus/concept3750,Bhutan
http://vocabularies.unesco.org/thesaurus/concept3759,Bibliographic control
http://vocabularies.unesco.org/thesaurus/concept3599,Bibliographic databases
http://vocabularies.unesco.org/thesaurus/concept3766,Bibliographic journals
http://vocabularies.unesco.org/thesaurus/concept1028,Bibliographic services
http://vocabularies.unesco.org/thesaurus/concept3761,Bibliographic standards
http://vocabularies.unesco.org/thesaurus/concept3753,Bibliographies
http://vocabularies.unesco.org/thesaurus/concept3755,Bibliographies of bibliographies
http://vocabularies.unesco.org/thesaurus/concept3774,Bibliography compilation
http://vocabularies.unesco.org/thesaurus/concept3802,Bibliology
http://vocabularies.unesco.org/thesaurus/concept3892,Biculturalism
http://vocabularies.unesco.org/thesaurus/concept3890,Bicycles
http://vocabularies.unesco.org/thesaurus/concept1177,Bilateral agreements
http://vocabularies.unesco.org/thesaurus/concept1910,Bilateral aid
http://vocabularies.unesco.org/thesaurus/concept3927,Bilateral relations
http://vocabularies.unesco.org/thesaurus/concept3894,Bilingual education
http://vocabularies.unesco.org/thesaurus/concept3895,Bilingualism
http://vocabularies.unesco.org/thesaurus/concept3939,Binding
http://vocabularies.unesco.org/thesaurus/concept2198,Biochemical analysis
http://vocabularies.unesco.org/thesaurus/concept3943,Biochemicals
http://vocabularies.unesco.org/thesaurus/concept218,Biochemistry
http://vocabularies.unesco.org/thesaurus/concept3962,Bioclimatology
http://vocabularies.unesco.org/thesaurus/concept4011,Biodiversity
http://vocabularies.unesco.org/thesaurus/concept2451,Bioethics
http://vocabularies.unesco.org/thesaurus/concept1832,Biogas
http://vocabularies.unesco.org/thesaurus/concept3982,Biogenesis
http://vocabularies.unesco.org/thesaurus/concept3983,Biogeochemistry
http://vocabularies.unesco.org/thesaurus/concept3988,Biogeography
http://vocabularies.unesco.org/thesaurus/concept3994,Biographies
http://vocabularies.unesco.org/thesaurus/concept1331,Biological adaptation
http://vocabularies.unesco.org/thesaurus/concept4006,Biological control
http://vocabularies.unesco.org/thesaurus/concept4018,Biological effects
http://vocabularies.unesco.org/thesaurus/concept4024,Biological research
http://vocabularies.unesco.org/thesaurus/concept219,Biology
http://vocabularies.unesco.org/thesaurus/concept4046,Biology education
http://vocabularies.unesco.org/thesaurus/concept4052,Biomass
http://vocabularies.unesco.org/thesaurus/concept3980,Biomass energy
http://vocabularies.unesco.org/thesaurus/concept4050,Biomes
http://vocabularies.unesco.org/thesaurus/concept4040,Biometrics
http://vocabularies.unesco.org/thesaurus/concept220,Biophysics
http://vocabularies.unesco.org/thesaurus/concept3277,Biosphere
http://vocabularies.unesco.org/thesaurus/concept4014,Biosphere reserves
http://vocabularies.unesco.org/thesaurus/concept3953,Biosynthesis
http://vocabularies.unesco.org/thesaurus/concept619,Biotechnology
http://vocabularies.unesco.org/thesaurus/concept2430,Birds
http://vocabularies.unesco.org/thesaurus/concept4108,Birth
http://vocabularies.unesco.org/thesaurus/concept4113,Birth control
http://vocabularies.unesco.org/thesaurus/concept4110,Birth rate
http://vocabularies.unesco.org/thesaurus/concept4124,Black Sea
http://vocabularies.unesco.org/thesaurus/concept1894,Black holes
http://vocabularies.unesco.org/thesaurus/concept17113,Blended learning
http://vocabularies.unesco.org/thesaurus/concept3461,Blind
http://vocabularies.unesco.org/thesaurus/concept4135,Blindness
http://vocabularies.unesco.org/thesaurus/concept17125,Blue economy
http://vocabularies.unesco.org/thesaurus/concept4147,Boarding schools
http://vocabularies.unesco.org/thesaurus/concept4152,Body temperature
http://vocabularies.unesco.org/thesaurus/concept763,Bolivia
http://vocabularies.unesco.org/thesaurus/concept3809,Book costs
http://vocabularies.unesco.org/thesaurus/concept4183,Book development
http://vocabularies.unesco.org/thesaurus/concept4188,Book distribution
http://vocabularies.unesco.org/thesaurus/concept4179,Book industry
http://vocabularies.unesco.org/thesaurus/concept4205,Book production training
http://vocabularies.unesco.org/thesaurus/concept4209,Book reviews
http://vocabularies.unesco.org/thesaurus/concept1247,Book selection
http://vocabularies.unesco.org/thesaurus/concept4216,Bookform materials
http://vocabularies.unesco.org/thesaurus/concept500,Books
http://vocabularies.unesco.org/thesaurus/concept4230,Booksellers
http://vocabularies.unesco.org/thesaurus/concept4190,Bookselling
http://vocabularies.unesco.org/thesaurus/concept4239,Bosnia and Herzegovina
http://vocabularies.unesco.org/thesaurus/concept4238,Bosnian
http://vocabularies.unesco.org/thesaurus/concept4249,Botanical gardens
http://vocabularies.unesco.org/thesaurus/concept230,Botany
http://vocabularies.unesco.org/thesaurus/concept692,Botswana
http://vocabularies.unesco.org/thesaurus/concept4271,Boundaries
http://vocabularies.unesco.org/thesaurus/concept4283,Boys
http://vocabularies.unesco.org/thesaurus/concept1886,Brackish water
http://vocabularies.unesco.org/thesaurus/concept2343,Brahmanism
